Symbol,Name,LastSale,NetChange,%Change,MarketCap,Country,IPOYear,Volume,Sector,Industry
GESHIP.NS,GrindwellNorto,1864.35,0.15,3832.11,India,15248,Abrasives
GREENPANEL.NS,GujAlkali,635.85,-0.49,20642.08,India,60641,Chemicals
GRINDWELL.NS,GujAmbExports,272.4,-2.56,4998.9,India,385601,FoodProcessing
GUJALKALI.NS,GujaratFluoro,3301.45,2.09,4669.49,India,190832,Chemicals
GAEL.NS,GujaratGas,464.8,-0.93,6247.09,India,605655,OilDrillingAndExploration
FLUOROCHEM.NS,GNFC,534.15,-1.57,14965.71,India,711133,Fertilizers
GUJGASLTD.NS,GujaratPipavav,108.8,1.45,36266.43,India,1248649,Shipping
GNFC.NS,GSFC,125.45,-0.16,31996.37,India,764716,Fertilisers
GPPL.NS,GujStatePetro,265.25,-0.19,5259.83,India,322916,OilDrillingAndExploration
GSFC.NS,HappiestMinds,799.9,-0.11,11747.62,India,112260,Computers-Software
GSPL.NS,HatsunAgro,860.15,1.76,19159.74,India,10862,FoodProcessing
HEG.NS,HavellsIndia,1215.6,0.46,76158.52,India,1049172,ElectricEquipment
HCLTECH.NS,HCLTech,1038.7,-2.36,281868.39,India,4322881,Computers-Software
HDFCAMC.NS,HDFCAMC,1768.55,-2.34,503549.09,India,154121,Finance-Investments
HDFCBANK.NS,HDFCBank,1665.7,0.37,37745.23,India,12370584,Banks-PrivateSector
HDFCLIFE.NS,HDFCLife,524.8,-1.41,929417.76,India,1622301,Life&HealthInsurance
HFCL.NS,HEG,1061.85,0.8,112800.31,India,505497,Electrodes&Graphite
HLEGLAS.NS,HeroMotocorp,2445.95,0.26,4098.26,India,247426,Auto-2&3Wheelers
HAPPSTMNDS.NS,HFCL,61.2,-1.92,48879.8,India,2735199,Telecommunications-Equipment
HAVELLS.NS,Hikal,290.25,-1.58,8431.88,India,225024,Pharmaceuticals
HEROMOTOCO.NS,Hindalco,433.05,0.35,3578.8,India,5982454,Iron&Steel
HIKAL.NS,HindujaGlobal,1028.1,-0.15,9795.95,India,13825,Computers-Software
HINDALCO.NS,HindustanAeron,2821.1,-0.28,137090.47,India,397323,Diversified
HGS.NS,HindCopper,101.3,0.15,97314.76,India,3584017,Metals-NonFerrous
HAL.NS,HINDPETRO,238.25,4.22,33796.91,India,3883553,Refineries
HINDCOPPER.NS,HUL,2531.6,-0.37,5399.61,India,1320243,PersonalCare
HINDPETRO.NS,HindZinc,324.45,0.36,94334.06,India,789880,Metals-NonFerrous
HINDUNILVR.NS,HitachiEnergy,3044.9,-1.18,12904.8,India,129276,ElectricEquipment
HINDZINC.NS,HLEGlascoat,592,0.63,4041.32,India,98720,Glass&GlassProducts
POWERINDIA.NS,HomeFirst,711.15,-2.5,6259.31,India,52073,Finance-Housing
HOMEFIRST.NS,HoneywellAutom,35418.05,-1.09,31314.95,India,6985,Telecommunications-Equipment
HONAUT.NS,HUDCO,45.75,0.66,9158.69,India,4091641,Construction&Contracting-RealEstate
HUDCO.NS,HDFC,2744.8,0.77,594822.52,India,1756973,Finance-Housing
HDFC.NS,ICICIBank,891.9,-0.55,622828.08,India,24377956,Banks-PrivateSector
ICICIBANK.NS,ICICILombard,1076.2,-4.82,52855.64,India,3169350,MultilineInsurance&Brokers
ICICIGI.NS,ICICIPrudentia,445.6,-0.96,64103.02,India,4234171,Finance-General
ICICIPRULI.NS,ICICISecuritie,461.05,-0.87,14885.82,India,166874,Miscellaneous
ISEC.NS,IDBIBank,52.4,-1.5,56342.59,India,10554875,Bank-Private
IDBI.NS,IDFC,80.55,0.25,12887.87,India,3996847,Finance-TermLendingInstitutions
IDFCFIRSTB.NS,IDFCFirstBank,56.35,-0.27,37293.12,India,16705166,Banks-PrivateSector
IDFC.NS,IFBIndustries,858.3,5.16,13736.16,India,749276,ConsumerGoods-WhiteGoods
IFBIND.NS,IIFLFinance,455.8,-1.1,3477.73,India,239709,Finance-General
IIFL.NS,IndiaCements,186.85,-0.95,34090.04,India,1517037,Cement-Major
IRB.NS,IndiabullsHsg,101.8,-1.69,17340.02,India,5830009,Finance-Housing
ITC.NS,IndiabullsReal,57.7,-0.86,5790.43,India,4957176,Construction&Contracting-RealEstate
